节点50Ce-100Ag-dmac-trans-cv_Trend67__0__15-08-06-102.txt的数据

Standard Time	Epoch Time		Value
HH:MM:SS:000	(自1970-01-01的毫秒数)
15:11:33.336	1729149093336	65.74
15:11:33.892	1729149093892	65.66
15:11:34.446	1729149094446	65.84
15:11:35.001	1729149095001	65.75
15:11:35.553	1729149095553	65.84
15:11:36.107	1729149096107	65.88
15:11:36.661	1729149096661	65.88
15:11:37.215	1729149097215	65.89
15:11:37.769	1729149097769	65.96
15:11:38.322	1729149098322	65.94
15:11:38.878	1729149098878	65.95
15:11:39.431	1729149099431	66.01
15:11:39.985	1729149099985	66.09
15:11:40.537	1729149100537	66.06
15:11:41.091	1729149101091	66.11
15:11:41.644	1729149101644	66.16
15:11:42.198	1729149102198	66.22
15:11:42.751	1729149102751	66.11
15:11:43.305	1729149103305	66.15
15:11:43.859	1729149103859	66.25
15:11:44.413	1729149104413	66.22
15:11:44.965	1729149104965	66.23
15:11:45.519	1729149105519	66.28
15:11:46.072	1729149106072	66.3
15:11:46.624	1729149106624	66.22
15:11:47.178	1729149107178	66.41
15:11:47.731	1729149107731	66.27
15:11:48.286	1729149108286	66.32
15:11:48.841	1729149108841	66.31
15:11:49.395	1729149109395	66.38
15:11:49.949	1729149109949	66.44
15:11:50.503	1729149110503	66.4
15:11:51.056	1729149111056	66.28
15:11:51.609	1729149111609	66.38
15:11:52.163	1729149112163	66.33
15:11:52.716	1729149112716	66.33
15:11:53.267	1729149113267	65.91
15:11:53.823	1729149113823	63.49
15:11:54.376	1729149114376	56.21
15:11:54.931	1729149114931	43.7
15:11:55.485	1729149115485	30.49
15:11:56.038	1729149116038	20.29
15:11:56.591	1729149116591	13.46
15:11:57.143	1729149117143	9.11
15:11:57.696	1729149117696	6.26
15:11:58.248	1729149118248	4.6
15:11:58.803	1729149118803	3.5
15:11:59.357	1729149119357	2.88
15:11:59.911	1729149119911	2.54
15:12:00.465	1729149120465	2.31
15:12:01.018	1729149121018	2.06
15:12:01.572	1729149121572	1.74
15:12:02.127	1729149122127	1.34
15:12:02.682	1729149122682	1.15
15:12:03.237	1729149123237	0.92
15:12:03.792	1729149123792	0.8
15:12:04.346	1729149124346	0.71
15:12:04.901	1729149124901	0.64
15:12:05.456	1729149125456	0.58
15:12:06.009	1729149126009	0.53
15:12:06.564	1729149126564	0.55
15:12:07.118	1729149127118	0.53
15:12:07.673	1729149127673	0.53
15:12:08.227	1729149128227	0.53
15:12:08.783	1729149128783	0.57
15:12:09.335	1729149129335	0.57
15:12:09.889	1729149129889	0.59
15:12:10.444	1729149130444	0.59
15:12:10.998	1729149130998	0.62
15:12:11.553	1729149131553	0.6
15:12:12.108	1729149132108	0.61
15:12:12.661	1729149132661	0.65
15:12:13.216	1729149133216	0.59
15:12:13.770	1729149133770	0.61
15:12:14.325	1729149134325	0.63
15:12:14.880	1729149134880	0.6
15:12:15.435	1729149135435	0.56
15:12:15.988	1729149135988	0.6
15:12:16.542	1729149136542	0.58
15:12:17.096	1729149137096	0.57
15:12:17.652	1729149137652	0.6
15:12:18.205	1729149138205	0.6
15:12:18.758	1729149138758	0.6
15:12:19.312	1729149139312	0.62
15:12:19.867	1729149139867	0.58
15:12:20.419	1729149140419	0.54
15:12:20.973	1729149140973	0.58
15:12:21.528	1729149141528	0.59
15:12:22.084	1729149142084	0.59
15:12:22.639	1729149142639	0.58
15:12:23.194	1729149143194	0.56
15:12:23.748	1729149143748	0.59
15:12:24.302	1729149144302	0.56
15:12:24.856	1729149144856	0.57
15:12:25.410	1729149145410	0.56
15:12:25.966	1729149145966	0.54
15:12:26.518	1729149146518	0.56
15:12:27.072	1729149147072	0.55
15:12:27.626	1729149147626	0.58
15:12:28.180	1729149148180	0.6
15:12:28.736	1729149148736	0.53
15:12:29.290	1729149149290	0.56
15:12:29.843	1729149149843	0.58
15:12:30.397	1729149150397	0.56
15:12:30.952	1729149150952	0.59
15:12:31.505	1729149151505	0.59
